得倒	de5 dao3
不倒	bu5 dao3
一下	yi5 ha4
啥子	
餓癆	
莫得	mo5de
莫得	me1
不得	bu5de
不得	be1
冇得	
啷個	
浪個	
呢個	
恁個	
哢個	long4geo1
各人	
別個	
格勢	
行勢	
轉去	zhuan3 Dqu4
轉來	zhuan3 lai2
寶器	
寶氣	
索索	
朘子	cui2 zi3
尻子	
棒老二	
冰凊	bin1 cin4
出脫	cho5 to5
格搦	go5 nie5
姡毒	gua5 du5
呢方	le4 fang1
呢樣子	le4 yang4 zi3
謱謰	lo3 lian2
㞗事莫得	qiu2 si4 mo2 de1
脅孔	xia5 kong3
曉得	xiao3 de5
不得	be1
出沒	chu5 mu5
沈沒	chen2 mu5
淹沒	yan1 mu5
沒落	mu5 lo5
嗚呼	o ho
拚命	ban3 min4
做啥子	zua4 zi3
啥子	sha4 zi3
伸敨	chen1 tou3
背時	bei4 shi2
支嘴	zhi1 zui3
跐膠	zi1 jiao1
直眉直眼	zhi5 mi2 zhi5 yan3
咹	an
巴巴掌	ba1 ba1 zhang3
巴壁虎	ba1 bi5 hu3
抵攏	di3 long3
這麼	zhe4 mo1
未有	mei4 you3
沒有	mei2 you1
你老	niang3
你老ㄦ	niaer3
竈屋	zao4 wu5
灶屋	zao4 wu5
瓜眉日眼	gua1 mi2 ri5 yan3
瓜眉瓜眼	gua1 mi2 gua1 yan3
怪眉怪眼	guai4 mi2 guai4 yan3
藏區	zang4 qu1
你們	ni3 men1
四川話	si4 chuan1 hua4
仁富	ren2 fu4
雅棉	ya3 mian2
灌赤	guan4 chi5
沒	mei2
一點ㄦ	yi5 diar3
一點ㄦ	yi5 dier3
一嘀嘀ㄦ	yi5 di1 dier1
娃兒	wa2 er1
貓ㄦ	mer1
湯圓ㄦ	tang1 yuar2
湯圓ㄦ	tang1 yuer2
蛾蛾ㄦ	o2 wer1
莫得	mo5 de
不得行	dou1 de5 xin2
瓜的	gua1 Ddi1
爲啥子	wei4 sa4 zi3
瓜娃子	gua1 wa2 zi3
㡀火藥	pie4 ho3 yo5
有沒得	you3 mei1 de5
都有	dou1 you3
午覺	wu3 jiao4
睡午覺	shui4 wu3 jiao4
傻麻屄	ha3 ma2 pi1
糺乾	jiu3 gan1
糺緊	
糺筋	
㲃起	
彎爾格㲃	
率先	so5 sian1
躥瞌睡	
躥瞌睡	cuang1 keo5 shui4
姺姤	svan1 hou4
希花ㄦ	
掉丁	
篤杵杵	
篤尾子狗	
熨貼	yu2 tie5
抹斜	
焌燈	
囉子裹子	
砑抲	
攀胸	
頗死	
指甲	zhi3 qia5
